lemma,sense_name,definition,example,example_source,contains_word,Notes
think,intend.v.01,have in mind as a purpose,She didn't think to harm me,wordnet,TRUE,
touch,partake.v.03,consume,She didn't touch her food all night,wordnet,TRUE,
diaper,diaper.n.01,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,She doesn't have a diaper on,childes,TRUE,
draw,withdraw.v.09,remove (a commodity) from (a supply source),She drew $2000 from the account,wordnet,FALSE,
draw,draw.v.07,take liquid out of a container or well,She drew water from the barrel,wordnet,FALSE,
drop,drop.v.17,"take (a drug, especially LSD), by mouth",She dropped acid when she was a teenager,wordnet,TRUE,
drop,drop.v.20,change from one level to another,She dropped into army jargon,wordnet,TRUE,
drop,sink.v.01,fall or descend to a lower place or level,She dropped into her chair,hand_written,FALSE,
bottle,bottle.n.01,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,She dropped the empty bottle and it shattered,hand_written,TRUE,
fall,fall.v.24,drop oneself to a lower or less erect position,She fell back in her chair,wordnet,FALSE,
break,break.v.25,cause to give up a habit,She finally broke herself of smoking cigarettes,wordnet,FALSE,
drive,drive.v.07,"compel somebody to do something, often against his own will or judgment",She finally drove him to change jobs,wordnet,FALSE,
pick,pick.v.01,select carefully from a group,She finally picked her successor,wordnet,TRUE,
fix,fasten.v.01,cause to be firmly attached,She fixed her gaze on the man,wordnet,TRUE,
find,recover.v.01,get or find back; recover the use of,She found her voice and replied quickly,wordnet,FALSE,
pants,gasp.n.01,a short labored intake of breath with the mouth open,She gave a pant and fainted,hand_written,FALSE,
give,give.v.44,proffer (a body part),She gave her hand to her little sister,wordnet,TRUE,
give,give.v.01,"cause to have, in the abstract sense or physical sense",She gave him a black eye,wordnet,TRUE,
give,give.v.20,give or convey physically,She gave him First Aid,wordnet,TRUE,
boots,kick.n.01,the act of delivering a blow with the foot,She gave him the boot,hand_written,FALSE,
give,give.v.07,"convey or communicate; of a smile, a look, a physical gesture",She gave me a dirty look,wordnet,FALSE,
mad,huffy.s.02,roused to anger,She gets mad when you wake her up so early,wordnet,TRUE,
get,suffer.v.02,undergo (as of injuries and illnesses),She got a bruise on her leg,wordnet,FALSE,
ladder,run.n.13,a row of unravelled stitches,She got a ladder in her stocking,hand_written,FALSE,
get,get.v.01,come into the possession of something concrete or abstract,She got a lot of paintings from her uncle,wordnet,TRUE,
corn,corn.n.03,ears of corn that can be prepared and served for human food,She got lost in the corn fields,hand_written,TRUE,
get,get.v.27,reach and board,She got the bus just as it was leaving,wordnet,FALSE,
get,catch.v.24,apprehend and reproduce accurately,She got the mood just right in her photographs,wordnet,FALSE,
have,have.v.17,achieve a point or goal,She had 29 points that day,hand_written,FALSE,
alligator,alligator.n.01,leather made from alligator's hide,She had an alligator purse,hand_written,TRUE,
stone,gem.n.02,a crystalline rock that can be cut and polished for jewelry,She had jewels made of all the rarest stones,wordnet,TRUE,
kick,complain.v.01,"express complaints, discontent, displeasure, or unhappiness",She has a lot to kick about,wordnet,TRUE,
have,have.v.02,have as a feature,She has a nice voice,hand_written,FALSE,
toy,miniature.n.02,a copy that reproduces a person or thing in greatly reduced size,She has a toy stove so she can bake,hand_written,TRUE,
eye,eye.n.02,good discernment (either visually or as if visually),She has an eye for fresh talent,wordnet,TRUE,
have,have.v.12,suffer from; be ill with,She has arthritis,wordnet,TRUE,
bird,dame.n.01,informal terms for a (young) woman,She hated being called a bird,hand_written,TRUE,
help,avail.v.03,take or use,She helped herself to some of the office supplies,wordnet,TRUE,
hide,obscure.v.05,make undecipherable or imperceptible by obscuring or concealing,She hid the message,hand_written,FALSE,
hit,strike.v.10,"produce by manipulating keys or strings of musical instruments, also metaphorically",She hit the C note,hand_written,TRUE,
hold,have.v.01,"have or possess, either in a concrete or an abstract sense",She holds a Master's degree from Harvard,wordnet,TRUE,
hold,hold.v.14,support or hold in a certain manner,She holds her head high,wordnet,TRUE,
star,ace.n.03,someone who is dazzlingly skilled in any field,She is a star player,hand_written,TRUE,
cover,cover.v.17,help out by taking someone's place and temporarily assuming his responsibilities,She is covering for our secretary who is ill this week,wordnet,TRUE,
drive,drive.v.05,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",She is driven by her passion,wordnet,TRUE,
drive,tug.v.02,strive and make an effort to reach a goal,She is driving away at her doctoral thesis,wordnet,TRUE,
hide,hide.v.02,"be or go into hiding; keep out of sight, as for protection and safety",She is hiding in the bathroom,hand_written,FALSE,
look,expect.v.03,look forward to the probable occurrence of,She is looking to a promotion,wordnet,TRUE,
push,push.v.06,approach a certain age or speed,She is pushing fifty,wordnet,TRUE,
green,fleeceable.s.01,naive and easily deceived or tricked,She is quite green,hand_written,TRUE,
read,learn.v.04,be a student of a certain subject,She is reading for the bar exam,wordnet,TRUE,
run,operate.v.01,"direct or control; projects, businesses, etc.",She is running a relief operation in the Sudan,wordnet,TRUE,
take,learn.v.04,be a student of a certain subject,She is taking a class,hand_written,FALSE,
high,high.a.04,used of sounds and voices; high in pitch or frequency,She is very high pitched,hand_written,TRUE,
ball,testis.n.01,one of the two male reproductive glands that produce spermatozoa and secrete androgens,She kicked him in the balls and got away,wordnet,TRUE,
egg,testis.n.01,one of the two male reproductive glands that produce spermatozoa and secrete androgens,She kicked him in the balls and got away,wordnet,FALSE,
nuts,testis.n.01,one of the two male reproductive glands that produce spermatozoa and secrete androgens,She kicked him in the nuts and got away,hand_written,TRUE,
work,exploit.v.01,use or manipulate to one's advantage,She knows how to work the system,wordnet,TRUE,
blow,boast.v.01,show off,She likes to blow about her achievements in college,hand_written,TRUE,
look,look.v.07,convey by one's expression,She looked her devotion to me,wordnet,TRUE,
garden,garden.n.03,a yard or lawn adjoining a house,She looked out on the garden,hand_written,TRUE,
look,look.v.01,perceive with attention; direct one's gaze towards,She looked over the expanse of land,wordnet,TRUE,
carry,carry.v.38,be successful in,She lost the game but carried the match,wordnet,FALSE,
love,love.v.03,be enamored or in love with,She loves her husband deeply,wordnet,TRUE,
make,have.v.17,achieve a point or goal,She made 29 points that day,wordnet,FALSE,
make,make.v.42,"represent fictitiously, as in a play, or pretend to be or act like",She makes like an actress,wordnet,TRUE,
catch,catch.v.13,check oneself during an action,She managed to catch herself before telling her boss what was on her mind,wordnet,TRUE,
sit,ride.v.01,"sit and travel on the back of animal, usually while controlling its motions",She never sat a horse!,wordnet,FALSE,
touch,touch.v.01,"make physical contact with, come in contact with",She never touched her husband,wordnet,TRUE,
play,play.v.31,shoot or hit in a particular manner,She played a good backhand last night,wordnet,TRUE,
play,bet.v.02,stake on the outcome of an issue,She played all her money on the dark horse,wordnet,TRUE,
play,toy.v.02,manipulate manually or in one's mind or imagination,She played nervously with her wedding ring,wordnet,TRUE,
play,play.v.06,replay (as a melody),She played the third movement very beautifully,wordnet,TRUE,
play,act.v.05,pretend to have certain qualities or state of mind,She plays deaf when the news are bad,wordnet,TRUE,
play,play.v.20,use to one's advantage,She plays on her clients' emotions,wordnet,TRUE,
play,dally.v.04,consider not very seriously,She plays with the thought of moving to Tasmania,wordnet,TRUE,
dish,dish.n.02,a particular item of prepared food,She prepared a special dish for dinner,wordnet,TRUE,
pretend,profess.v.07,state insincerely,She pretended not to have known the suicide bomber,wordnet,TRUE,
push,push.v.05,press against forcefully without moving,She pushed against the wall with all her strength,wordnet,TRUE,
put,put.v.04,attribute or give,She put too much emphasis on her the last statement,wordnet,TRUE,
read,read.v.05,"interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior",She read the sky and predicted rain,wordnet,TRUE,
catch,catch.v.24,apprehend and reproduce accurately,She really caught the spirit of the place in her drawings,wordnet,FALSE,
hand,handwriting.n.01,something written by hand,She recognized his handwriting,wordnet,TRUE,
sit,sit.v.10,serve in a specific professional capacity,She sat on the jury,hand_written,FALSE,
head,principal.n.02,the educator who has executive authority for a school,She sent unruly pupils to see the head teacher,hand_written,TRUE,
table,board.n.04,food or meals in general,She sets a fine table,wordnet,TRUE,
show,express.v.01,give expression to,She showed her disappointment,wordnet,TRUE,
show,show.v.04,make visible or noticeable,She showed her talent for cooking,wordnet,TRUE,
show,show.v.01,give an exhibition of to an interested audience,She shows her dogs frequently,wordnet,TRUE,
smile,smile.v.02,express with a smile,She smiled her thanks,wordnet,TRUE,
medicine,medicine.n.01,the branches of medical science that deal with nonsurgical techniques,She specializes in medicine,hand_written,TRUE,
splash,sprinkle.v.02,"cause (a liquid) to spatter about, especially with force",She splashed the water around her,wordnet,TRUE,
stand,stand.v.09,be tall; have a height of; copula,She stands 6 feet tall,wordnet,TRUE,
glass,looking_glass.n.01,a mirror; usually a ladies' dressing mirror,She stared at her reflection in the looking glass,hand_written,TRUE,
talk,talk.v.02,express in speech,She talks a lot of nonsense,wordnet,TRUE,
think,think.v.13,bring into a given condition by mental preoccupation,She thought herself into a state of panic over the final exam,wordnet,FALSE,
throw,throw.v.12,make on a potter's wheel,She threw a beautiful teapot,wordnet,FALSE,
throw,throw.v.02,"move violently, energetically, or carelessly",She threw herself forwards,wordnet,FALSE,
throw,project.v.10,put or send forth,She threw the flashlight beam into the corning,wordnet,FALSE,
take,contract.v.04,"be stricken by an illness, fall victim to an illness",She took a chill,wordnet,FALSE,
take,claim.v.04,lay claim to; as of an idea,She took credit for the whole idea,wordnet,FALSE,
take,assume.v.05,occupy or take on,She took her seat on the stange,wordnet,FALSE,
take,fill.v.04,"assume, as of positions or roles",She took the job as director of development,wordnet,FALSE,
garbage,garbage.n.03,a receptacle where waste can be discarded,She tossed the moldy bread into the garbage,wordnet,TRUE,
street,street.n.03,the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction,She tried to keep her children off the street,wordnet,TRUE,
gum,glue.n.01,cement consisting of a sticky substance that is used as an adhesive,She used gum to hold the parts together,hand_written,TRUE,
buy,buy.v.04,acquire by trade or sacrifice or exchange,She wanted to buy his love with her dedication to him and his work,wordnet,TRUE,
bunny,bunny.n.01,a young waitress in a nightclub whose costume includes the tail and ears of a rabbit,She was almost a Playboy Bunny,hand_written,FALSE,
big,big.s.13,in an advanced stage of pregnancy,She was big with child,wordnet,TRUE,
bump,demote.v.01,assign to a lower position; reduce in rank,She was bumped because she always speaks up,hand_written,TRUE,
careful,careful.s.03,unhurried and with care and dignity,She was careful and graceful when walking,hand_written,TRUE,
catch,catch.v.01,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state",She was caught shoplifting,wordnet,TRUE,
draw,draw.v.16,bring or lead someone to a certain action or condition,She was drawn to despair,wordnet,TRUE,
eat,eat.v.01,take in solid food,She was eating a banana,wordnet,TRUE,
heavy,big.s.13,in an advanced stage of pregnancy,She was heavy with child,wordnet,TRUE,
make,name.v.03,charge with a function; charge to be,She was made president of the club,wordnet,FALSE,
sing,sing.v.02,produce tones with the voice,She was singing while she was cooking,wordnet,TRUE,
catch,catch.v.22,suffer from the receipt of,She will catch hell for this behavior!,wordnet,TRUE,
talk,lecture.v.01,deliver a lecture or talk,She will talk at Rutgers next week,wordnet,TRUE,
arm,sleeve.n.01,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,She wiped it off with the arm of her coat,hand_written,FALSE,
mouth,mouth.n.02,the externally visible part of the oral cavity on the face and the system of organs surrounding the opening,She wiped lipstick from her mouth,wordnet,TRUE,
wake,wake_up.v.02,stop sleeping,She woke up to the sound of the alarm clock,wordnet,TRUE,
work,work.v.08,"operate in a certain place, area, or specialty",She works the night clubs,wordnet,TRUE,
write,write.v.10,"create code, write a computer program",She writes code faster than anybody else,wordnet,TRUE,
heavy,fleshy.s.01,usually describes a large person who is fat but has a large frame to carry it,She's a bit heavy,hand_written,TRUE,
dog,frump.n.01,a dull unattractive unpleasant girl or woman,She's a real dog,wordnet,TRUE,
better,better.a.01,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another,She's better in math than in history,wordnet,TRUE,
pretend,dissemble.v.03,behave unnaturally or affectedly,She's just pretending,hand_written,TRUE,
sun,sun.n.03,a person considered as a source of warmth or energy or glory etc,She's the sun of the class,hand_written,TRUE,
trash,trash.n.02,worthless people,"She's trash, don't talk to her",hand_written,TRUE,
ride,ride.v.09,lie moored or anchored,Ship rides at anchor,wordnet,TRUE,
run,ply.v.03,travel a route regularly,Ships run the waters near the coast,hand_written,TRUE,
drop,drop.v.21,fall or sink into a state of exhaustion or death,Shop til you drop,wordnet,TRUE,
ride,ride.v.11,climb up on the body,Shorts that ride up,wordnet,TRUE,
take,choose.v.01,"pick out, select, or choose from a number of alternatives",Should mommy take a couple of books out?,childes,TRUE,
dump,plunge.v.06,fall abruptly,Should we dump all the pieces out,childes,TRUE,
block,block.n.03,a three-dimensional shape with six square or rectangular sides,Should we make a house with the blocks,childes,TRUE,
sick,disgusted.s.01,having a strong distaste from surfeit,Sick of it all,wordnet,TRUE,
sick,ghastly.s.01,shockingly repellent; inspiring horror,Sick tortures conceived by madmen,hand_written,TRUE,
block,block.n.06,(computer science) a sector or group of sectors that function as the smallest data unit permitted,"Since blocks are often defined as a single sector, the terms `block' and `sector' are sometimes used interchangeably",wordnet,TRUE,
sing,sing.v.01,deliver by singing,Sing Christmas carols,wordnet,TRUE,
dark,dark.a.01,devoid of or deficient in light or brightness; shadowed or black,Sitting in a dark corner,wordnet,TRUE,
catch,capture.v.06,"capture as if by hunting, snaring, or trapping",Sleek seals catch fish as they splash in and out of the water,childes,TRUE,
bed,layer.n.01,single thickness of usually some homogeneous substance,Slices of hard-boiled egg on a bed of spinach,wordnet,TRUE,
cover,cover.v.23,play a higher card than the one previously played,Smith covered again,wordnet,TRUE,
butt,cigarette.n.01,finely ground tobacco wrapped in paper; for smoking,Smoking a butt,hand_written,TRUE,
bad,bad.s.08,nonstandard,So-called bad grammar,wordnet,TRUE,
cut,cut.v.34,dissolve by breaking down the fat of,Soap cuts grease,wordnet,TRUE,
soda,sodium_carbonate.n.01,a sodium salt of carbonic acid; used in making soap powders and glass and paper,Soda can help remove odor in containers,hand_written,FALSE,
soft,soft.s.11,using evidence not readily amenable to experimental verification or refutation,Soft data,wordnet,TRUE,
soft,delicate.s.04,easily hurt,Soft hands,wordnet,TRUE,
soft,soft.a.06,not protected against attack (especially by nuclear weapons),Soft targets,wordnet,TRUE,
soft,soft.a.03,(of sound) relatively low in volume,Soft voices,wordnet,TRUE,
chalk,chalk.n.01,a soft whitish calcite,Some mountains are full of chalk,hand_written,TRUE,
keys,key.n.10,a list of answers to a test,Some students had stolen the key to the final exam,wordnet,FALSE,
turkey,joker.n.02,a person who does something thoughtless or annoying,Some turkey is blocking the driveway,hand_written,TRUE,
yard,yard.n.08,a long horizontal spar tapered at the end and used to support and spread a square sail or lateen,Some yards are used to display flags,hand_written,TRUE,
milk,milk.n.02,produced by mammary glands of female mammals for feeding their young,Somebody's getting some milk out of the goat's udder,childes,TRUE,
hammer,hammer.n.05,a heavy metal sphere attached to a flexible wire; used in the hammer throw,Someone just beat the record for the hammer throw!,hand_written,TRUE,
wash,wash.v.02,cleanse (one's body) with soap and water,Someone needs their face washed,childes,TRUE,
spill,spill.v.04,pour out in drops or small quantities or as if in drops or small quantities,Spill blood,wordnet,TRUE,
spill,spill.v.03,cause or allow (a solid substance) to flow or run out or over,Spill the beans all over the table,wordnet,TRUE,
spill,spill.v.01,cause or allow (a liquid substance) to run or flow from a container,Spill the milk,wordnet,TRUE,
sprinkler,sprinkler.n.01,mechanical device that attaches to a garden hose for watering lawn or garden,Sprinkler does make things wet we're giving the plants water,childes,FALSE,
squirrel,squirrel.n.02,the fur of a squirrel,Squirrel fur coats were popular in the 1800s,hand_written,TRUE,
stand,resist.v.04,withstand the force of something,Stand the test of time,wordnet,TRUE,
head,promontory.n.01,a natural elevation (especially a rocky one that juts out into the sea),Standing at the head lands gave a beautiful view,hand_written,TRUE,
stand,stand.v.07,remain inactive or immobile,Standing water,wordnet,TRUE,
stay,stay.v.01,stay the same; remain in a certain state,Stay alone,wordnet,TRUE,
stay,quell.v.02,overcome or allay,Stay my hunger,hand_written,FALSE,
sidewalk,sidewalk.n.01,walk consisting of a paved area for pedestrians; usually beside a street or roadway,Stay on the sidewalk and never go in the street,hand_written,TRUE,
stay,last_out.v.01,hang on during a trial of endurance,Stay out the storm,hand_written,FALSE,
sticky,muggy.s.01,hot or warm and humid,Sticky weather,wordnet,TRUE,
break,break.v.56,fall sharply,Stock prices broke,wordnet,FALSE,
drop,drop.v.03,go down in value,Stock prices dropped,wordnet,TRUE,
stone,rock.n.02,material consisting of the aggregate of minerals like those making up the Earth's crust,Stone is abundant in New England and there are many quarries,wordnet,TRUE,
stop,stop.v.05,cause to stop,Stop a car,wordnet,TRUE,
stop,stop.v.03,stop from happening or developing,Stop his election,hand_written,TRUE,
trash,folderol.n.01,nonsensical talk or writing,Stop talking trash,hand_written,TRUE,
stop,barricade.v.01,render unsuitable for passage,Stop the busy road,wordnet,TRUE,
stop,break.v.10,prevent completion,Stop the project,wordnet,TRUE,
stop,check.v.18,"hold back, as of a danger or an enemy; check the expansion or influence of",Stop the rebel movement,hand_written,FALSE,
stuck,stuck.a.01,caught or fixed,Stuck in the mud,wordnet,TRUE,
bee,bee.n.01,any of numerous hairy-bodied insects including social and solitary species,Stung by a bee,hand_written,TRUE,
glasses,glass.n.01,a brittle transparent solid with irregular atomic structure,Suddenly all the glass shattered,hand_written,FALSE,
build,build.v.10,develop and grow,Suspense was building right from the beginning of the opera,wordnet,TRUE,
sweep,sweep.v.03,sweep with a broom or as if with a broom,Sweep the crumbs off the table,wordnet,TRUE,
take,take.v.24,"ascertain or determine by measuring, computing or take a reading from a dial",Take a pulse,wordnet,TRUE,
take,take.v.20,make use of or accept for some purpose,Take a risk,wordnet,TRUE,
take,film.v.01,make a film or photograph of something,Take a scene,wordnet,TRUE,
take,aim.v.01,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",Take a swipe at one's opponent,wordnet,FALSE,
take,take.v.01,carry out,Take action,wordnet,TRUE,
take,take.v.34,"to get into a position of having, e.g., safety, comfort",Take shelter from the storm,wordnet,TRUE,
take,take.v.29,be seized or affected in a specified way,Take sick,wordnet,TRUE,
take,accept.v.05,admit into a group or community,Take students for graduate study,hand_written,FALSE,
take,consider.v.03,take into consideration for exemplifying purposes,Take the case of China,wordnet,FALSE,
take,remove.v.01,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",Take the gun from your pocket,wordnet,TRUE,
take,bring.v.01,take something or somebody with oneself somewhere,Take these letters to the boss,wordnet,FALSE,
medicine,music.n.05,punishment for one's actions,Take your medicine,wordnet,TRUE,
taste,taste.v.01,have flavor; taste of something,"Taste this cake, sweetie",hand_written,FALSE,
tear,pluck.v.05,strip of feathers,Tear a chicken,hand_written,FALSE,
tear,tear.v.01,separate or cause to separate abruptly,Tear the paper,wordnet,TRUE,
bat,bat.n.01,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,Ten bats with the Count hang on the ceiling,childes,TRUE,
yellow,yellow.s.01,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,That bannana isn't yellow enough to be ripe,hand_written,TRUE,
puppy,puppy.n.02,an inexperienced young person,That bar is full of puppies,hand_written,FALSE,
deer,deer.n.01,distinguished from Bovidae by the male's having solid deciduous antlers,That deer has huge antlers,hand_written,TRUE,
finish,finish.v.06,cause to finish a relationship with somebody,That finished me with Mary,wordnet,TRUE,
red,red.s.01,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,That is a very red apple,hand_written,TRUE,
present,present.n.01,the period of time that is happening now; any continuous stretch of time including the moment of speech,That is enough for the present,wordnet,TRUE,
rock,rock.n.02,material consisting of the aggregate of minerals like those making up the Earth's crust,That mountain is solid rock,wordnet,TRUE,
corn,corn.n.07,something sentimental or trite,That movie was pure corn,wordnet,TRUE,
bubbles,bubble.n.01,"a hollow globule of gas (e.g., air or carbon dioxide)",That pig wants to have a bath with bubbles,childes,TRUE,
touch,affect.v.01,have an effect upon,That really touched me,hand_written,FALSE,
put,put.v.02,cause to be in a certain state; cause to be in a certain relation,That song put me in awful good humor,wordnet,TRUE,
fix,pay_back.v.02,take vengeance on or get even,That'll fix him good!,wordnet,TRUE,
flag,flag.n.01,emblem usually consisting of a rectangular piece of cloth of distinctive design,That's a flag on a castle,childes,TRUE,
hard,hard.a.03,resisting weight or pressure,That's a hard table,hand_written,TRUE,
wind,wind.n.04,empty rhetoric or insincere or exaggerated talk,That's a lot of wind,wordnet,TRUE,
apple,apple.n.02,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,That's a nice apple tree,childes,TRUE,
food,food.n.03,anything that provides mental stimulus for thinking,That's food for thought,hand_written,TRUE,
white,white.s.07,benevolent; without malicious intent,That's white of you,wordnet,TRUE,
keys,key.n.02,something crucial for explaining,Thats the key to this puzzle,hand_written,FALSE,
eat,corrode.v.01,"cause to deteriorate due to the action of water, air, or an acid",The acid ate through the metal,hand_written,TRUE,
pull,attract.v.01,direct toward itself or oneself by means of some psychological power or physical attributes,The ad pulled in many potential customers,wordnet,TRUE,
dirty,dirty.a.04,spreading pollution or contamination; especially radioactive contamination,The air near the foundry was always dirty,wordnet,TRUE,
carry,impart.v.03,transmit or serve as the medium for transmission,The airwaves carry the sound,wordnet,TRUE,
drive,drive.v.20,cause to function by supplying the force or power for or by controlling,The amplifier drives the tube,wordnet,TRUE,
cook,cook.v.05,transform by heating,The apothecary cooked the medicinal mixture in a big iron kettle,wordnet,TRUE,
draw,pull_back.v.04,stretch back a bowstring (on an archer's bow),The archers were drawing their bows,wordnet,TRUE,
arm,arm.n.02,any projection that is thought to resemble a human arm,The arm of the record player,wordnet,TRUE,
take,take.v.21,take by force,The army took the fort on the hill,wordnet,TRUE,
find,find.v.15,succeed in reaching; arrive at,The arrow found its mark,wordnet,FALSE,
see,see.v.17,"see and understand, have a good eye",The artist must first learn to see,wordnet,TRUE,
write,write.v.07,mark or trace on a surface,The artist wrote Chinese characters on a big piece of white paper,wordnet,TRUE,
work,influence.v.01,have and exert influence or effect,The artist's work influenced the young painter,wordnet,TRUE,
clap,applaud.v.01,clap one's hands or shout after performances to indicate approval,The audience clapped,hand_written,FALSE,
hold,accommodate.v.04,have room for; hold without crowding,The auditorium can't hold more than 500 people,wordnet,TRUE,
cut,cut.v.39,have grow through the gums,The baby cut a tooth,wordnet,TRUE,
talk,speak.v.03,use language,The baby talks already,wordnet,TRUE,
applesauce,folderol.n.01,nonsensical talk or writing,The baby talks applesauce,hand_written,TRUE,
bib,bib.n.02,a napkin tied under the chin of a child while eating,The baby's got a bib on,childes,TRUE,
hair,haircloth.n.01,cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments,The back of the chair ripped and the hair was exposed,hand_written,TRUE,
ball,ball.n.10,a more or less rounded anatomical body or mass,The ball at the base of the thumb,wordnet,TRUE,
shorts,short.n.01,the location on a baseball field where the shortstop is stationed,The ball flew directly to the short,hand_written,FALSE,
window,windowpane.n.01,a pane of glass in a window,The ball shattered the window,wordnet,TRUE,
ball,ball.n.01,round object that is hit or thrown or kicked in games,The ball travelled 90 mph on his serve,wordnet,TRUE,
ball,ball.n.04,the people assembled at a lavish formal dance,The ball was already emptying out before the fire alarm sounded,wordnet,TRUE,
fast,fast.a.03,at a rapid tempo,The band played a fast fox trot,wordnet,TRUE,
slow,slow.a.02,at a slow tempo,The band played a slow waltz,wordnet,TRUE,
play,play.v.03,play on an instrument,The band played all night long,wordnet,TRUE,
bubbles,bubble.n.04,a dome-shaped covering made of transparent glass or plastic,The bar was in a bubble on the lawn at the party,hand_written,FALSE,
fall,descend.v.01,"move downward and lower, but not necessarily all the way",The barometer is falling,wordnet,TRUE,
bathroom,bathroom.n.01,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,The bathroom is down the hall,hand_written,TRUE,
walk,walk.v.03,obtain a base on balls,The batter walked to first base,hand_written,TRUE,
hold,hold.v.10,be the physical support of; carry the weight of,The beam holds up the roof,wordnet,TRUE,
beans,bean.n.03,any of various leguminous plants grown for their edible seeds and pods,The beans are growing in the pod,hand_written,TRUE,
open,open.v.08,have an opening or passage or outlet,The bedrooms open into the hall,wordnet,TRUE,
head,head.n.18,the foam or froth that accumulates at the top when you pour an effervescent liquid into a container,The beer had a large head of foam,wordnet,TRUE,
belt,belt.n.06,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun,The belt fed through the machine as shots rung out,hand_written,TRUE,
clap,clap.v.02,cause to strike the air in flight,The big bird clapped its wings,wordnet,TRUE,
hand,hand.n.08,a rotating pointer on the face of a timepiece,The big hand counts the minutes,wordnet,TRUE,
bird,shuttlecock.n.01,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,The bird flew past and hit the racket,hand_written,TRUE,
egg,egg.n.01,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds,The birds have eggs in their nests,childes,TRUE,
pick,peck.v.01,hit lightly with a picking motion,The birds were picking at the grain,hand_written,TRUE,
black,bootleg.s.01,distributed or sold illicitly,The black economy pays no taxes,wordnet,TRUE,
break,break.v.45,pierce or penetrate,The blade broke her skin,wordnet,FALSE,
show,testify.v.02,provide evidence for,The blood test showed that he was the father,wordnet,TRUE,
kiss,kiss.v.02,touch lightly or gently,The blossoms were kissed by the soft rain,wordnet,TRUE,
get,get.v.19,reach with a blow or hit in a particular spot,The blow got him in the back,wordnet,FALSE,
cut,cut.v.16,pass through or across,The boat cut the water,wordnet,TRUE,
pool,pool.n.06,a small body of standing water (rainwater) or other liquid,The body lay in a pool of blood,wordnet,TRUE,
drop,drop.v.02,to fall vertically,The bombs are dropping on enemy targets,wordnet,TRUE,
break,break.v.39,destroy the completeness of a set of related items,The book dealer would not break the set,wordnet,TRUE,
book,book.n.10,a major division of a long written composition,The book of Isaiah,wordnet,TRUE,
cold,cold.s.11,unconscious from a blow or shock or intoxication,The boxer was out cold,wordnet,TRUE,
kick,kick.v.03,strike with the foot,The boy kicked the dog,wordnet,TRUE,
splash,splash.v.07,strike and dash about in a liquid,The boys splashed around in the pool,wordnet,TRUE,
fall,fall.v.01,descend in free fall under the influence of gravity,The branch fell from the tree,wordnet,FALSE,
get,have.v.17,achieve a point or goal,The Brazilian team got 4 goals,wordnet,FALSE,
train,train.n.05,piece of cloth forming the long back section of a gown that is drawn along the floor,The bride's train was carried by her two young nephews,wordnet,TRUE,
hold,defy.v.01,resist or confront with resistance,The bridge held,wordnet,FALSE,
tv,television_receiver.n.01,an electronic device that receives television signals and displays them on a screen,The British call a tv set a telly,wordnet,TRUE,
foot,foot.n.06,any of various organs of locomotion or attachment in invertebrates,The broad foot of the chiton anchors it to the shore,childes,TRUE,
broken,broken.s.10,destroyed financially,The broken fortunes of the family,wordnet,TRUE,
broom,heather.n.01,common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere,The broom tree is a desert shrub,hand_written,TRUE,
brush,brush.n.06,a minor short-term fight,The brothers always have brushes with each other,hand_written,TRUE,
garage,garage.n.02,a repair shop where cars and trucks are serviced and repaired,The bus is going to reverse into the garage isn't it,childes,TRUE,
bus,busbar.n.01,an electrical conductor that makes a common connection between several circuits,The busbar in this computer can transmit data either way between any two components of the system,wordnet,TRUE,
butt,butt.n.01,thick end of the handle,The butt of a knife,hand_written,TRUE,
butt,butt.n.02,the part of a plant from which the roots spring or the part of a stalk or trunk nearest the roots,The butt of the carrot looks healthy,hand_written,TRUE,
see,see.v.19,observe as if with an eye,The camera saw the burglary and recorded it,wordnet,FALSE,
rip,rip.v.04,criticize or abuse strongly and violently,The candidate ripped into his opponent mercilessly,wordnet,TRUE,
